,"China, Taiwan Province of",United Arab Emirates,Zambia,Bulgaria,Syrian Arab Republic,Brazil,Ethiopia,Denmark,Liberia,Greece,Bangladesh,Malawi,Norway,Bahamas,Mozambique,Guatemala,Latvia,Slovenia,Croatia,Madagascar,Luxembourg,Israel,Saudi Arabia,Fiji,Sweden,Switzerland,Sri Lanka,Azerbaijan,United Republic of Tanzania,Bosnia and Herzegovina,China,Colombia,Libya,Brunei Darussalam,Hungary,Montenegro,Kazakhstan,Estonia,Mauritius,France,Togo,Mali,Paraguay,Seychelles,Melanesia,Georgia,Serbia and Montenegro,Cameroon,Grenada,Dominican Republic,Guadeloupe,El Salvador,Cook Islands,Canada,Spain,Iraq,The former Yugoslav Republic of Macedonia,Antigua and Barbuda,New Zealand,Belize,Czechia,Czechoslovakia,Cuba,Kyrgyzstan,Argentina,Democratic People's Republic of Korea,Germany,Cabo Verde,Bahrain,Morocco,Ethiopia PDR,Gabon,USSR,Romania,Ecuador,Jordan,Mexico,Albania,Slovakia,Jamaica,Trinidad and Tobago,Polynesia,Montserrat,Indonesia,Thailand,Lithuania,Finland,Netherlands,Oman,Angola,Nigeria,Guam,Turkey,Kenya,"China, Hong Kong SAR",Belarus,Iceland,Burkina Faso,Saint Kitts and Nevis,Philippines,Martinique,Australia,Maldives,Ireland,Zimbabwe,Yugoslav SFR,Republic of Korea,Papua New Guinea,Rwanda,Australia & New Zealand,Barbados,French Polynesia,Algeria,Senegal,Saint Lucia,Uganda,Dominica,Belgium,American Samoa,Comoros,Uruguay,Italy,Egypt,Sudan (former),Armenia,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Portugal,Micronesia,Poland,"China, mainland",Russian Federation,Nicaragua,Haiti,India,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Serbia,Malaysia,Malta,Namibia,Benin,United Kingdom,Japan,Bermuda,Somalia,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Tonga,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Pakistan,Kuwait,French Guiana,Suriname,Timor-Leste,Costa Rica,Tajikistan,Austria,Niger,Bhutan,Congo,Qatar,Cayman Islands,Honduras,Puerto Rico,Tunisia,Côte d'Ivoire,Turkmenistan,South Africa,Singapore,Panama,Sierra Leone,Réunion,Sudan,Ghana,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,95446.0,50000.0,100000.0,310478.0,88762.0,133322.0,-1.0,1234043.0,-1.0,121302.0,60593.0,85714.0,1088378.0,116667.0,54101.0,63208.0,-1.0,-1.0,-1.0,62500.0,-1.0,283053.0,125714.0,-1.0,1000000.0,212500.0,23138.0,-1.0,71429.0,-1.0,159464.0,148649.0,100000.0,-1.0,138202.0,-1.0,-1.0,-1.0,30281.0,261680.0,28571.0,40000.0,194444.0,70833.0,14419.0,-1.0,-1.0,38462.0,100000.0,200136.0,150000.0,102727.0,53750.0,274196.0,221915.0,70962.0,-1.0,25000.0,329778.0,-1.0,-1.0,197407.0,136500.0,-1.0,158149.0,116667.0,256043.0,50000.0,200000.0,144928.0,108696.0,-1.0,145798.0,120359.0,149458.0,112290.0,68270.0,120000.0,-1.0,88222.0,110918.0,70000.0,75000.0,20000.0,37241.0,-1.0,746667.0,807154.0,-1.0,25000.0,97778.0,35000.0,196491.0,152381.0,172300.0,-1.0,833333.0,92857.0,-1.0,28017.0,100000.0,203614.0,-1.0,800000.0,72222.0,120354.0,110685.0,14419.0,-1.0,221077.0,50000.0,300000.0,164570.0,100000.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,71262.0,210687.0,142274.0,126667.0,-1.0,130435.0,-1.0,-1.0,197333.0,239200.0,35000.0,101993.0,160000.0,-1.0,400000.0,153846.0,92800.0,-1.0,120000.0,128000.0,-1.0,-1.0,178571.0,69527.0,-1.0,18833.0,811528.0,207613.0,113571.0,-1.0,152157.0,92460.0,45000.0,166667.0,254496.0,73333.0,49800.0,-1.0,131579.0,-1.0,55962.0,-1.0,74545.0,-1.0,330812.0,100000.0,-1.0,71429.0,-1.0,-1.0,28097.0,72627.0,74206.0,100000.0,-1.0,264286.0,-1.0,182222.0,72727.0,200000.0,-1.0,50000.0,86549.0,-1.0,939908.0
1962,98102.0,50000.0,100000.0,331892.0,85249.0,140589.0,-1.0,1310219.0,-1.0,132738.0,62562.0,86667.0,1064054.0,115385.0,57096.0,63393.0,-1.0,-1.0,-1.0,63636.0,-1.0,288784.0,131429.0,-1.0,1000000.0,320000.0,21087.0,-1.0,70588.0,-1.0,159438.0,149813.0,109998.0,-1.0,126729.0,-1.0,-1.0,-1.0,66996.0,266506.0,28571.0,40000.0,189474.0,69231.0,20000.0,-1.0,-1.0,42857.0,100000.0,201178.0,150000.0,100000.0,43750.0,294670.0,226995.0,63325.0,-1.0,25000.0,506663.0,-1.0,-1.0,182731.0,128807.0,-1.0,164763.0,125000.0,236014.0,50000.0,220000.0,186549.0,104000.0,-1.0,138750.0,118711.0,247742.0,80628.0,66712.0,120000.0,-1.0,90733.0,110793.0,63333.0,75000.0,20000.0,35156.0,-1.0,750000.0,810332.0,-1.0,25000.0,100000.0,67778.0,200000.0,153488.0,167100.0,-1.0,833333.0,92857.0,-1.0,29314.0,93333.0,203614.0,-1.0,942857.0,71579.0,123984.0,123692.0,20000.0,-1.0,237990.0,50000.0,320000.0,175000.0,100000.0,-1.0,68519.0,-1.0,-1.0,-1.0,-1.0,81481.0,212532.0,148399.0,126667.0,-1.0,133333.0,-1.0,-1.0,197368.0,317432.0,67778.0,56995.0,160000.0,-1.0,400000.0,153846.0,92308.0,-1.0,125000.0,126000.0,-1.0,-1.0,179104.0,69527.0,-1.0,20739.0,860134.0,226997.0,68000.0,-1.0,152097.0,89358.0,41111.0,186667.0,296746.0,73333.0,56212.0,-1.0,131579.0,-1.0,53846.0,-1.0,78182.0,-1.0,287554.0,100000.0,-1.0,71429.0,-1.0,-1.0,28149.0,72804.0,118774.0,100000.0,-1.0,220000.0,-1.0,180682.0,72727.0,200000.0,-1.0,50000.0,100000.0,-1.0,964177.0
1963,84948.0,50000.0,100000.0,295431.0,70756.0,137055.0,-1.0,1402672.0,-1.0,148585.0,59326.0,87500.0,1133067.0,121951.0,60000.0,63621.0,-1.0,-1.0,-1.0,68182.0,-1.0,324031.0,131429.0,-1.0,1000000.0,383019.0,18574.0,-1.0,70000.0,-1.0,168978.0,152222.0,109991.0,-1.0,141102.0,-1.0,-1.0,-1.0,57324.0,200501.0,28571.0,39926.0,190000.0,71538.0,27308.0,-1.0,-1.0,46667.0,100000.0,208000.0,187500.0,103333.0,68750.0,255823.0,229076.0,62678.0,-1.0,33333.0,511604.0,-1.0,-1.0,199008.0,128522.0,-1.0,138808.0,115385.0,283056.0,50000.0,216667.0,156335.0,103704.0,-1.0,138704.0,119638.0,264400.0,104530.0,67951.0,124000.0,-1.0,90720.0,110793.0,84409.0,75000.0,20000.0,37829.0,-1.0,829268.0,800124.0,-1.0,25000.0,99462.0,22222.0,211404.0,154545.0,144067.0,-1.0,666667.0,92857.0,-1.0,30257.0,85714.0,196280.0,-1.0,784615.0,73684.0,119106.0,110129.0,27308.0,-1.0,237016.0,47273.0,283333.0,175000.0,100000.0,-1.0,68421.0,-1.0,-1.0,-1.0,-1.0,81481.0,224258.0,147645.0,133333.0,-1.0,141667.0,-1.0,-1.0,198718.0,339390.0,22222.0,141991.0,170000.0,-1.0,400000.0,150000.0,93396.0,-1.0,117674.0,125026.0,-1.0,-1.0,178571.0,102814.0,-1.0,31504.0,788980.0,248188.0,66923.0,-1.0,138098.0,171400.0,39362.0,150000.0,281348.0,81250.0,56219.0,-1.0,132075.0,-1.0,59479.0,-1.0,75000.0,-1.0,374781.0,102703.0,-1.0,71429.0,-1.0,-1.0,28104.0,71558.0,132809.0,100000.0,-1.0,222857.0,-1.0,182105.0,72727.0,200000.0,-1.0,50209.0,104000.0,-1.0,915685.0
1964,94786.0,50000.0,100000.0,332467.0,81740.0,143677.0,-1.0,1396500.0,-1.0,155405.0,62421.0,88235.0,1073867.0,123810.0,61290.0,63636.0,-1.0,-1.0,-1.0,68182.0,-1.0,359641.0,142857.0,-1.0,1000000.0,388350.0,18918.0,-1.0,72727.0,-1.0,171675.0,145517.0,120000.0,-1.0,160693.0,-1.0,-1.0,-1.0,59563.0,258361.0,28571.0,40000.0,190000.0,67857.0,41765.0,-1.0,-1.0,50000.0,100000.0,202686.0,187500.0,118182.0,38889.0,256274.0,252134.0,68385.0,-1.0,30000.0,425806.0,-1.0,-1.0,191251.0,129788.0,-1.0,173298.0,123077.0,291782.0,40000.0,216667.0,175694.0,100000.0,-1.0,138308.0,122677.0,281642.0,95212.0,67664.0,128000.0,-1.0,102928.0,110766.0,59043.0,75000.0,20000.0,29095.0,-1.0,896104.0,879147.0,-1.0,25000.0,99474.0,30833.0,219298.0,156951.0,100667.0,-1.0,833333.0,92857.0,-1.0,34660.0,100000.0,208483.0,-1.0,976923.0,70000.0,121774.0,126937.0,41765.0,-1.0,239090.0,50909.0,300000.0,136449.0,100000.0,-1.0,68333.0,-1.0,-1.0,-1.0,-1.0,83292.0,240651.0,152077.0,133333.0,-1.0,142075.0,-1.0,-1.0,200000.0,337826.0,30833.0,165027.0,172727.0,-1.0,400000.0,151515.0,92727.0,-1.0,108436.0,128072.0,-1.0,-1.0,180282.0,94269.0,-1.0,31078.0,870902.0,287648.0,68333.0,-1.0,150209.0,152400.0,39214.0,150000.0,293393.0,80000.0,57393.0,-1.0,133333.0,-1.0,75581.0,-1.0,73846.0,-1.0,382824.0,95000.0,-1.0,71429.0,-1.0,-1.0,28133.0,120361.0,102102.0,100000.0,-1.0,300000.0,-1.0,182653.0,72727.0,200000.0,-1.0,46886.0,108000.0,-1.0,1154194.0
1965,105718.0,50000.0,100000.0,361403.0,81902.0,146247.0,-1.0,1432365.0,-1.0,175906.0,68657.0,83684.0,1191067.0,125581.0,63492.0,63375.0,-1.0,-1.0,-1.0,67500.0,-1.0,365785.0,130000.0,-1.0,1000000.0,400000.0,26865.0,-1.0,72000.0,-1.0,180801.0,144667.0,129991.0,-1.0,151561.0,-1.0,-1.0,-1.0,71053.0,284106.0,28571.0,40000.0,181818.0,69286.0,50000.0,-1.0,-1.0,50000.0,100000.0,194446.0,187500.0,127000.0,61728.0,290565.0,243877.0,70915.0,-1.0,33333.0,460757.0,-1.0,-1.0,141140.0,130477.0,-1.0,168432.0,123077.0,260141.0,40000.0,216667.0,203481.0,103333.0,-1.0,143138.0,143329.0,254250.0,91744.0,109183.0,128000.0,-1.0,103226.0,109837.0,80729.0,75000.0,21429.0,26563.0,-1.0,876712.0,901876.0,-1.0,25000.0,100000.0,22391.0,223293.0,157895.0,150786.0,-1.0,1000000.0,92857.0,-1.0,44129.0,95000.0,226531.0,-1.0,850000.0,75000.0,108015.0,107516.0,50000.0,-1.0,259539.0,50000.0,285714.0,122853.0,100000.0,-1.0,68254.0,-1.0,-1.0,-1.0,-1.0,88000.0,250673.0,154923.0,125000.0,-1.0,105594.0,-1.0,-1.0,200000.0,331429.0,22391.0,96331.0,181818.0,-1.0,400000.0,150000.0,92105.0,-1.0,126218.0,118265.0,-1.0,-1.0,180000.0,97068.0,-1.0,27947.0,870902.0,281138.0,68000.0,-1.0,152294.0,154819.0,39261.0,152174.0,302597.0,80247.0,57318.0,-1.0,133333.0,-1.0,74176.0,-1.0,76923.0,-1.0,327303.0,102500.0,-1.0,71429.0,-1.0,-1.0,28255.0,117022.0,114274.0,100000.0,-1.0,310000.0,-1.0,185000.0,72727.0,200000.0,-1.0,50278.0,116000.0,-1.0,991908.0
1966,106089.0,50000.0,100000.0,320774.0,85718.0,175185.0,-1.0,1451127.0,-1.0,183918.0,71064.0,85000.0,1201375.0,127273.0,100000.0,62667.0,-1.0,-1.0,-1.0,63636.0,-1.0,370160.0,135000.0,-1.0,1000000.0,421053.0,20268.0,-1.0,71429.0,-1.0,191259.0,111607.0,140005.0,-1.0,180271.0,-1.0,-1.0,-1.0,99650.0,280153.0,30556.0,40000.0,190476.0,66667.0,37059.0,-1.0,-1.0,50000.0,103636.0,199538.0,180791.0,129091.0,80247.0,278384.0,248238.0,75508.0,-1.0,37500.0,349678.0,-1.0,-1.0,166672.0,129257.0,-1.0,168432.0,123077.0,280048.0,33333.0,230769.0,175602.0,106452.0,-1.0,138777.0,148918.0,350050.0,106738.0,108631.0,125000.0,-1.0,91952.0,111969.0,110619.0,75000.0,30000.0,34884.0,-1.0,880597.0,851074.0,-1.0,25000.0,99500.0,22391.0,211619.0,160173.0,214286.0,-1.0,1050000.0,92857.0,-1.0,44160.0,100000.0,240044.0,-1.0,985714.0,72727.0,114433.0,135421.0,37059.0,-1.0,254869.0,49231.0,285714.0,111779.0,100000.0,-1.0,68182.0,-1.0,-1.0,-1.0,-1.0,85995.0,261184.0,159690.0,119318.0,-1.0,116100.0,-1.0,-1.0,200000.0,305004.0,22391.0,141773.0,192500.0,-1.0,400000.0,153846.0,93103.0,-1.0,126500.0,111634.0,-1.0,-1.0,179310.0,90379.0,-1.0,22301.0,904000.0,321933.0,67500.0,-1.0,140248.0,170916.0,44835.0,160000.0,283528.0,82822.0,58230.0,-1.0,132743.0,-1.0,85660.0,-1.0,75714.0,-1.0,356045.0,110700.0,-1.0,72727.0,-1.0,-1.0,28169.0,93545.0,115154.0,94118.0,-1.0,278571.0,-1.0,180682.0,72727.0,200000.0,-1.0,50217.0,128000.0,-1.0,971334.0
1967,115503.0,79808.0,100000.0,328714.0,88530.0,180238.0,-1.0,1589627.0,-1.0,187217.0,73792.0,85714.0,1187927.0,128889.0,100000.0,63535.0,-1.0,-1.0,-1.0,64966.0,-1.0,350000.0,137931.0,-1.0,1000000.0,385965.0,12225.0,-1.0,73333.0,-1.0,193794.0,113043.0,150007.0,-1.0,209119.0,-1.0,-1.0,-1.0,134652.0,265520.0,31944.0,40000.0,190909.0,68667.0,41250.0,-1.0,-1.0,55000.0,100000.0,199037.0,182353.0,143636.0,45679.0,284964.0,240784.0,74837.0,-1.0,35714.0,349703.0,-1.0,-1.0,236840.0,130266.0,-1.0,164101.0,121429.0,288586.0,33333.0,230769.0,173125.0,109677.0,-1.0,156000.0,152236.0,315321.0,101331.0,119872.0,132143.0,-1.0,113948.0,112828.0,90435.0,75000.0,19000.0,35294.0,-1.0,1028571.0,966738.0,-1.0,25000.0,99512.0,-1.0,210111.0,160338.0,222222.0,-1.0,1050000.0,92857.0,-1.0,43968.0,97778.0,244085.0,-1.0,964286.0,72727.0,108418.0,195231.0,41250.0,-1.0,257839.0,50000.0,300000.0,90958.0,100000.0,-1.0,68116.0,-1.0,-1.0,-1.0,-1.0,92000.0,265975.0,139300.0,119318.0,-1.0,131824.0,-1.0,-1.0,198864.0,333971.0,-1.0,157051.0,195000.0,-1.0,400000.0,150000.0,93333.0,-1.0,126500.0,111439.0,-1.0,-1.0,179775.0,75389.0,-1.0,22570.0,955000.0,382747.0,67500.0,-1.0,145380.0,175491.0,59619.0,160000.0,293083.0,82209.0,59038.0,-1.0,132743.0,-1.0,109000.0,-1.0,74667.0,-1.0,370000.0,115000.0,-1.0,72727.0,-1.0,-1.0,20792.0,91749.0,101739.0,100000.0,-1.0,344286.0,-1.0,181356.0,72727.0,200000.0,-1.0,50217.0,128000.0,-1.0,1265852.0
1968,128119.0,99338.0,100000.0,307553.0,103632.0,175335.0,-1.0,1673952.0,-1.0,227167.0,84795.0,86364.0,1347875.0,128421.0,121083.0,63529.0,-1.0,-1.0,-1.0,65278.0,-1.0,345039.0,138095.0,-1.0,1056604.0,333333.0,20763.0,-1.0,75000.0,-1.0,209051.0,115948.0,160709.0,-1.0,201205.0,-1.0,-1.0,-1.0,109476.0,278500.0,32432.0,40000.0,195652.0,65625.0,44000.0,-1.0,-1.0,60000.0,100000.0,207400.0,166667.0,144545.0,56173.0,279567.0,253430.0,73600.0,-1.0,35000.0,368226.0,-1.0,-1.0,246201.0,109902.0,-1.0,158350.0,128571.0,292348.0,40000.0,246154.0,144118.0,109375.0,-1.0,142755.0,158620.0,242064.0,80570.0,116590.0,128571.0,-1.0,90068.0,110968.0,107917.0,75000.0,15004.0,36724.0,-1.0,882353.0,930309.0,-1.0,30000.0,99524.0,25730.0,224484.0,160494.0,222222.0,-1.0,1050000.0,92857.0,-1.0,45451.0,100000.0,222943.0,-1.0,1040000.0,72727.0,104194.0,198685.0,44000.0,-1.0,246760.0,50000.0,266667.0,100478.0,100000.0,-1.0,67123.0,-1.0,-1.0,-1.0,-1.0,96154.0,252645.0,152187.0,116667.0,-1.0,121004.0,-1.0,-1.0,200000.0,333212.0,25730.0,136410.0,210526.0,-1.0,416667.0,153333.0,93548.0,-1.0,127010.0,106460.0,-1.0,-1.0,179641.0,70912.0,-1.0,21314.0,945000.0,413815.0,67500.0,-1.0,160371.0,145143.0,59313.0,200000.0,346492.0,81053.0,60000.0,-1.0,133333.0,-1.0,99000.0,-1.0,76667.0,-1.0,431267.0,95335.0,-1.0,72727.0,-1.0,-1.0,29931.0,89733.0,95000.0,101111.0,-1.0,272000.0,-1.0,182803.0,70833.0,200000.0,-1.0,50213.0,128000.0,-1.0,1008696.0
1969,134848.0,82988.0,112500.0,294896.0,115538.0,172517.0,-1.0,1704274.0,-1.0,267357.0,91440.0,86591.0,1293788.0,128571.0,88680.0,63578.0,-1.0,-1.0,-1.0,64935.0,-1.0,397045.0,133333.0,-1.0,1056604.0,371667.0,17380.0,-1.0,74286.0,-1.0,231262.0,119658.0,151786.0,-1.0,178788.0,-1.0,-1.0,-1.0,108706.0,291619.0,32432.0,40000.0,180000.0,63529.0,34615.0,-1.0,-1.0,59091.0,104167.0,209667.0,147368.0,142308.0,113889.0,253571.0,255989.0,75442.0,-1.0,33333.0,356583.0,-1.0,-1.0,239335.0,77730.0,-1.0,174135.0,125000.0,300546.0,50000.0,228571.0,176000.0,112500.0,-1.0,134057.0,119619.0,232417.0,71886.0,117868.0,120000.0,-1.0,93413.0,111449.0,184328.0,75000.0,14118.0,35201.0,-1.0,1064935.0,981266.0,-1.0,30000.0,99535.0,25923.0,230941.0,160000.0,222222.0,-1.0,1050000.0,93333.0,-1.0,50209.0,100000.0,221648.0,-1.0,1113333.0,72174.0,104055.0,147426.0,34615.0,-1.0,243848.0,51200.0,255556.0,111907.0,100000.0,-1.0,67105.0,-1.0,-1.0,-1.0,-1.0,103704.0,280296.0,152906.0,118889.0,-1.0,122681.0,-1.0,-1.0,197895.0,319907.0,25923.0,120652.0,233333.0,-1.0,394737.0,156250.0,95238.0,-1.0,100000.0,108021.0,-1.0,-1.0,179775.0,129538.0,-1.0,24378.0,970000.0,403275.0,67500.0,-1.0,140409.0,154152.0,44149.0,200000.0,317399.0,85714.0,62500.0,-1.0,132979.0,-1.0,71683.0,-1.0,76250.0,-1.0,464153.0,80737.0,-1.0,75000.0,-1.0,-1.0,37171.0,82747.0,117692.0,102000.0,-1.0,318667.0,-1.0,182911.0,70833.0,200000.0,-1.0,50212.0,121500.0,-1.0,1012005.0
1970,145598.0,84034.0,108824.0,285404.0,117074.0,169880.0,-1.0,1675122.0,-1.0,308352.0,88591.0,79396.0,1412063.0,130000.0,92308.0,63534.0,-1.0,-1.0,-1.0,65217.0,-1.0,360920.0,125000.0,-1.0,1045455.0,355000.0,30228.0,-1.0,75676.0,-1.0,240702.0,120833.0,151570.0,-1.0,164486.0,-1.0,-1.0,-1.0,101615.0,301794.0,33333.0,39935.0,181200.0,61111.0,37826.0,-1.0,-1.0,58333.0,100000.0,210017.0,50000.0,143333.0,114286.0,337308.0,249321.0,84493.0,-1.0,34375.0,341185.0,-1.0,-1.0,273688.0,78319.0,-1.0,179698.0,137500.0,340934.0,50000.0,236842.0,192308.0,112121.0,-1.0,146341.0,120636.0,209041.0,104208.0,133160.0,123333.0,-1.0,87855.0,112194.0,176596.0,85000.0,16667.0,32232.0,-1.0,1064935.0,1042120.0,-1.0,30769.0,100000.0,20000.0,241333.0,160156.0,214286.0,-1.0,1050000.0,93333.0,-1.0,55905.0,100000.0,225671.0,-1.0,1133333.0,72174.0,94753.0,149528.0,37826.0,-1.0,243299.0,44571.0,250000.0,94496.0,100000.0,-1.0,67089.0,-1.0,-1.0,-1.0,-1.0,99950.0,278371.0,155533.0,119565.0,-1.0,133076.0,-1.0,-1.0,199700.0,359068.0,20000.0,126000.0,243000.0,-1.0,425000.0,152941.0,95385.0,-1.0,100000.0,115779.0,-1.0,-1.0,180000.0,126404.0,-1.0,56587.0,1077000.0,409251.0,142500.0,-1.0,151040.0,158750.0,43867.0,166667.0,341304.0,84091.0,71364.0,-1.0,105217.0,-1.0,59381.0,-1.0,74706.0,-1.0,523460.0,73333.0,-1.0,71429.0,-1.0,-1.0,43057.0,93048.0,137500.0,104000.0,-1.0,294667.0,-1.0,183000.0,72500.0,183333.0,-1.0,49462.0,123333.0,-1.0,916155.0
