,Cuba,Ecuador,El Salvador,Mexico,Nicaragua,Colombia,Philippines,Guatemala
1961,11100.0,,6800.0,,8000.0,12593.0,8462.0,10000.0
1962,8800.0,,6600.0,,8000.0,12500.0,8194.0,10000.0
1963,10000.0,,6491.0,,8000.0,12414.0,8247.0,10000.0
1964,10000.0,,6600.0,,6667.0,12333.0,9619.0,10000.0
1965,10000.0,,6600.0,,6667.0,12258.0,9268.0,10000.0
1966,10000.0,,6600.0,,6667.0,12405.0,8844.0,10000.0
1967,10500.0,,6600.0,,6667.0,12426.0,9039.0,10000.0
1968,10500.0,,6600.0,,6667.0,12429.0,9315.0,10000.0
1969,10500.0,,6554.0,,6667.0,12416.0,8718.0,9481.0
1970,10500.0,,6554.0,,6667.0,12447.0,8631.0,8702.0
1971,10500.0,,6600.0,,6667.0,12487.0,8791.0,8354.0
1972,10500.0,,6663.0,,6667.0,13024.0,9906.0,8333.0
1973,10700.0,,6727.0,,6400.0,14009.0,9836.0,8247.0
1974,10800.0,,6000.0,,6667.0,15000.0,10385.0,8247.0
1975,10900.0,,6656.0,,6881.0,13785.0,7121.0,8500.0
1976,11000.0,,6096.0,,6844.0,15000.0,5714.0,8182.0
1977,11100.0,16111.0,6423.0,,6429.0,15433.0,10190.0,8455.0
1978,11200.0,16109.0,6620.0,,6571.0,14686.0,9371.0,8636.0
1979,11300.0,18270.0,6488.0,,6667.0,14383.0,10263.0,8636.0
1980,11400.0,18745.0,8551.0,,6857.0,14436.0,13105.0,8636.0
1981,11500.0,18137.0,8082.0,,6857.0,13191.0,11457.0,8636.0
1982,11600.0,22028.0,7045.0,10050.0,6944.0,12896.0,10945.0,8500.0
1983,11600.0,22654.0,6556.0,10071.0,7027.0,12605.0,10526.0,8500.0
1984,11700.0,19694.0,6572.0,10097.0,7105.0,13198.0,10562.0,8833.0
1985,11800.0,19654.0,6571.0,10082.0,7368.0,13268.0,10565.0,8750.0
1986,11800.0,19256.0,5734.0,10000.0,7436.0,13363.0,10575.0,8667.0
1987,11900.0,16142.0,7294.0,10004.0,7692.0,12187.0,10619.0,9633.0
1988,11900.0,11429.0,7564.0,9974.0,7750.0,12231.0,10606.0,9800.0
1989,12000.0,11135.0,8608.0,9916.0,7619.0,11545.0,10606.0,8696.0
1990,8375.0,11310.0,9195.0,9971.0,7674.0,13874.0,9922.0,8250.0
1991,5527.0,14165.0,9209.0,9953.0,7727.0,20519.0,9606.0,9502.0
1992,5471.0,10502.0,9821.0,9872.0,7778.0,14784.0,9802.0,8986.0
1993,5415.0,11579.0,9800.0,9953.0,8043.0,14403.0,10093.0,8462.0
1994,5360.0,11223.0,10519.0,9973.0,8085.0,13876.0,10328.0,9127.0
1995,5304.0,11107.0,10000.0,9938.0,8125.0,16057.0,10556.0,9286.0
1996,5248.0,10969.0,10646.0,9964.0,8082.0,15069.0,10526.0,9333.0
1997,5193.0,10696.0,13143.0,9943.0,8163.0,16942.0,10403.0,9375.0
1998,5137.0,8750.0,9857.0,10000.0,8124.0,12629.0,10362.0,9375.0
1999,5082.0,8462.0,7358.0,10000.0,8200.0,12459.0,10322.0,8824.0
2000,5026.0,8885.0,6900.0,10000.0,8155.0,10761.0,10283.0,9063.0
2001,4970.0,10273.0,6944.0,9516.0,8137.0,10995.0,10245.0,8485.0
2002,4915.0,8519.0,7132.0,9309.0,8155.0,11434.0,10208.0,8291.0
2003,4884.0,8519.0,6945.0,9069.0,8173.0,11997.0,10191.0,8060.0
2004,4853.0,18021.0,6736.0,8804.0,8208.0,12431.0,10175.0,7840.0
2005,4822.0,12205.0,6510.0,8520.0,8284.0,12571.0,10160.0,7632.0
2006,4792.0,12269.0,6179.0,7715.0,8148.0,11656.0,10145.0,7553.0
2007,4761.0,13509.0,5925.0,7322.0,8337.0,11409.0,10132.0,7390.0
2008,4730.0,13103.0,5668.0,6906.0,8436.0,10810.0,10120.0,7188.0
2009,4699.0,12625.0,5422.0,6490.0,8525.0,10455.0,10109.0,7080.0
2010,4717.0,12699.0,5200.0,6082.0,8623.0,10098.0,10099.0,6939.0
2011,4657.0,12816.0,5008.0,5690.0,8729.0,9750.0,10089.0,6791.0
2012,4651.0,13333.0,4625.0,5000.0,8993.0,9143.0,10000.0,6389.0
2013,4651.0,14000.0,4750.0,5000.0,9375.0,9143.0,10000.0,6389.0
2014,4471.0,13268.0,4704.0,4741.0,9156.0,8864.0,10000.0,6000.0
